LIQUIDITY_POOL_ADDRESS,POOL_NAME,TOKEN0_ADDRESS,TOKEN0_DECIMALS,TOKEN1_ADDRESS,TOKEN1_DECIMALS,FEE
0x2e8e941299c28370e32addd8b7e6681ae92f8509,uniswap: USDC-LBR 3000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xf1182229b71e79e504b1d2bf076c15a277311e05,18,3000
0x41f742a4a00b9c420d2c84ba5b54c5561fb9d829,uniswap: MeMeMaGiC-WETH 10000,0x7faeda9751de6329a29c16edabe9c3a4929e151f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x3b8bb58b5810ee7763c9e64eb011080146f04e1b,uniswap: WETH-eths 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xdc2642fc649c9de8a8d7c483864bef33c5b21d29,18,10000
0xb0c39d6cd67dd4732c7f2d7bb545a427361acd98,uniswap: RFDAO-WETH 10000,0x14f525bc87321b0c570da6e6b803058d2cb86960,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xb5cda34b724b3f6c597accf8e2f20f826335dd10,uniswap: THALES-USDC 500,0x8947da500eb47f82df21143d0c01a29862a8c3c5,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,500
0x12660260915e560babe17d7ff17bbd2a984d996f,uniswap: TIF-WETH 3000,0x23534fd627eb8920217066af5bce0381d6b18a8e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x1991a0c33ff16e37dbd9d35c3b809a935f13f2ca,uniswap: WETH-SAW 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc58713ab4f62000ad9a59a913c97b89bb8f62282,18,3000
0xca316487d1d8966bacb26f707dfe3e53cba3bb4d,uniswap: WETH-HARAM 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc961da88bb5e8ee2ba7dfd4c62a875ef80f7202f,9,3000
0x26ac7b9eaa295bd1fe3761ddcdfa7d79f8c592ed,uniswap: WETH-COIN 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xe6e2e4c863d3589a3addc8018c95c60ab0aba529,9,10000
0x083a02ce4aea75aa17c05aeec54b47b86067e7f3,uniswap: DINO-WETH 3000,0xc013a54396b1d0d9e1e630a511074129941acd5e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xdbd86321de72917fd761cc718820bdfea0f97213,uniswap: MRAVES-WETH 100,0x68d9368967ac596eb592937a1c20fa19b44b5ec2,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,100
